method,path,tag,operationId,summary,deprecated,security,responses
DELETE,"/admin/deleteusers/{id}","Admin","adminDeleteUsers","Delete Users from Admin Panel",false,"bearerAuth","200"
DELETE,"/admin/documenttypes/{id}","Admin","adminDeleteDocumentType","Delete DocumentType from Admin Panel",false,"bearerAuth","200"
DELETE,"/admin/rewardpoints/{id}","Admin","adminDeleteUserRewardPoints","Delete User reward points from Admin Panel",false,"bearerAuth","200"
DELETE,"/admin/rewards/{id}","Admin","adminDeleteRewards","Delete rewards from Admin Panel",false,"bearerAuth","200"
GET,"/admin","Admin","adminLogin","Returns Admin JSON",false,"bearerAuth","200"
GET,"/admin/create","Admin","adminCreate","Returns Admin JSON",false,"bearerAuth","200"
GET,"/admin/dashboardstats","Admin","dashboardstats","Returns Dashboard Stats",false,"bearerAuth","200"
GET,"/admin/documenttypes","Admin","adminDocumentTypesList","Returns Document Types list",false,"bearerAuth","200"
GET,"/admin/getdriverdocs/{id}","Admin","driverDocsList","Returns Drivers document",false,"bearerAuth","200"
GET,"/admin/getdrivers","Admin","driversList","Returns Drivers list",false,"bearerAuth","200"
GET,"/admin/getriders","Admin","ridersList","Returns Riders list",false,"bearerAuth","200"
GET,"/admin/rewardpoints/{id}","Admin","adminUserRewardPoints","Return Users reward points for Admin Panel",false,"bearerAuth","200"
GET,"/admin/rewards","Admin","adminRewards","Return All Rewards for Admin Panel",false,"bearerAuth","200"
GET,"/admin/ride/userrides/{id}","Admin","adminUserRides","Return Users rides for Admin Panel",false,"bearerAuth","200"
GET,"/ride","Admin","getAllRides","Returns Last 10 Rides for admin dashboard",false,"bearerAuth","200"
GET,"/ride/fetchride/{id}","Admin","getAdminRide","Get Specific Ride",false,"bearerAuth","200"
POST,"/admin/documenttypes","Admin","adminCreateDocumentType","Create Document Type",false,"bearerAuth","200"
POST,"/admin/rewardpoints/{id}","Admin","adminAddUserRewardPoints","Add User reward points from Admin Panel",false,"bearerAuth","200"
POST,"/admin/rewards","Admin","adminAddRewards","Add rewards from Admin Panel",false,"bearerAuth","200"
POST,"/admin/uploadfiles","Admin","uploadAdminFiles","Upload Admin Files e.g. icon, docs etc",false,"bearerAuth","200"
POST,"/ride/ridetype","Admin","saveRideType","Create Ride Type",false,"bearerAuth","200"
PUT,"/admin/documenttypes/{id}","Admin","adminUpdateDocumentType","Update DocumentType from Admin Panel",false,"bearerAuth","200"
